,gender,birth,marriage,religion,income,code_job,code_region
360,1.0,2016.0,0.0,1.0,,,1.0
361,2.0,1980.0,1.0,1.0,,,7.0
362,1.0,1980.0,1.0,2.0,,730.0,7.0
363,1.0,2010.0,0.0,1.0,,,7.0
364,1.0,2013.0,0.0,1.0,,,7.0
365,2.0,2016.0,0.0,1.0,,,7.0
366,1.0,1948.0,1.0,2.0,,782.0,1.0
367,2.0,1950.0,1.0,1.0,30.0,941.0,1.0
368,1.0,1977.0,5.0,2.0,333.0,223.0,1.0
369,2.0,1976.0,1.0,1.0,,,1.0
370,1.0,1973.0,1.0,1.0,448.0,231.0,1.0
371,1.0,2008.0,0.0,1.0,,,1.0
372,1.0,1968.0,1.0,2.0,,721.0,1.0
373,2.0,1966.0,1.0,2.0,363.0,721.0,1.0
374,2.0,2000.0,5.0,2.0,,,1.0
375,1.0,1959.0,1.0,2.0,,910.0,1.0
376,2.0,1964.0,1.0,2.0,108.0,951.0,1.0
377,2.0,1986.0,5.0,2.0,213.0,312.0,1.0
378,2.0,1988.0,5.0,2.0,208.0,313.0,1.0
379,1.0,1939.0,1.0,1.0,,,2.0
380,2.0,1940.0,1.0,1.0,,,2.0
381,1.0,1945.0,1.0,2.0,,,1.0
382,2.0,1949.0,1.0,2.0,,,1.0
383,1.0,1973.0,1.0,2.0,280.0,259.0,1.0
384,2.0,1969.0,1.0,2.0,458.0,259.0,1.0
385,2.0,2007.0,0.0,1.0,,,1.0
386,1.0,2009.0,0.0,1.0,,,1.0
387,1.0,1936.0,1.0,1.0,,,1.0
388,2.0,1946.0,1.0,1.0,,,1.0
389,2.0,1957.0,3.0,2.0,170.0,722.0,1.0
390,2.0,1987.0,5.0,2.0,,,1.0
391,1.0,1991.0,5.0,2.0,140.0,314.0,1.0
392,1.0,1955.0,1.0,1.0,20.0,251.0,1.0
393,2.0,1960.0,1.0,1.0,184.0,421.0,1.0
394,1.0,1989.0,5.0,1.0,291.0,312.0,3.0
395,1.0,1957.0,3.0,2.0,,532.0,1.0
396,1.0,1989.0,5.0,2.0,260.0,771.0,1.0
397,1.0,1952.0,3.0,2.0,184.0,942.0,1.0
398,1.0,1960.0,1.0,1.0,275.0,910.0,1.0
399,2.0,1960.0,1.0,1.0,100.0,441.0,1.0
400,2.0,1993.0,5.0,2.0,280.0,521.0,1.0
401,2.0,1988.0,1.0,2.0,203.0,442.0,2.0
402,1.0,1984.0,1.0,2.0,327.0,441.0,2.0
403,2.0,1944.0,2.0,1.0,,,1.0
404,2.0,1971.0,5.0,2.0,,281.0,1.0
405,2.0,1976.0,1.0,2.0,581.0,312.0,2.0
406,1.0,1973.0,1.0,2.0,1005.0,235.0,2.0
407,1.0,1950.0,1.0,1.0,,873.0,1.0
408,2.0,1953.0,1.0,1.0,30.0,951.0,1.0
409,1.0,1982.0,1.0,2.0,450.0,252.0,1.0
410,2.0,1987.0,1.0,2.0,417.0,399.0,1.0
411,1.0,2016.0,0.0,2.0,,,1.0
412,2.0,1937.0,3.0,1.0,,,1.0
413,1.0,1938.0,2.0,2.0,,,1.0
414,2.0,1963.0,3.0,1.0,378.0,442.0,1.0
415,2.0,1992.0,5.0,1.0,,,1.0
416,2.0,1995.0,5.0,1.0,280.0,399.0,1.0
417,1.0,1954.0,2.0,1.0,,,1.0
418,2.0,1994.0,1.0,1.0,60.0,314.0,2.0
419,1.0,1994.0,1.0,1.0,180.0,743.0,2.0
420,2.0,2016.0,0.0,2.0,,,2.0
421,1.0,1965.0,1.0,1.0,,783.0,1.0
422,2.0,1969.0,1.0,1.0,221.0,722.0,1.0
423,2.0,1992.0,1.0,1.0,,,1.0
424,2.0,1993.0,5.0,1.0,180.0,422.0,1.0
425,2.0,2000.0,5.0,1.0,,,1.0
426,1.0,1970.0,1.0,2.0,367.0,873.0,1.0
427,2.0,1971.0,1.0,2.0,213.0,722.0,1.0
428,2.0,2001.0,0.0,2.0,,,1.0
429,2.0,2003.0,0.0,2.0,,,1.0
430,2.0,1944.0,3.0,1.0,15.0,941.0,1.0
431,2.0,1950.0,3.0,1.0,,,1.0
432,1.0,1971.0,2.0,1.0,210.0,149.0,1.0
433,2.0,1936.0,2.0,1.0,,,1.0
434,1.0,1957.0,1.0,2.0,,,2.0
435,2.0,1958.0,1.0,2.0,,,2.0
436,1.0,1983.0,5.0,2.0,,,2.0
437,2.0,1979.0,1.0,2.0,,,2.0
438,1.0,1975.0,1.0,2.0,678.0,133.0,2.0
439,2.0,2009.0,0.0,2.0,,,2.0
440,1.0,2012.0,0.0,2.0,,,2.0
441,1.0,1962.0,1.0,2.0,290.0,891.0,1.0
442,2.0,1964.0,1.0,2.0,,,1.0
443,1.0,1990.0,5.0,2.0,209.0,222.0,1.0
444,1.0,1994.0,5.0,2.0,221.0,874.0,1.0
445,1.0,1952.0,1.0,2.0,133.0,992.0,1.0
446,2.0,1957.0,1.0,2.0,,442.0,1.0
447,1.0,1981.0,1.0,2.0,583.0,246.0,1.0
448,2.0,1986.0,1.0,2.0,423.0,246.0,1.0
449,1.0,2015.0,0.0,2.0,,,1.0
450,2.0,1984.0,1.0,2.0,333.0,320.0,1.0
451,1.0,1982.0,1.0,2.0,704.0,312.0,1.0
452,2.0,2017.0,0.0,2.0,,,1.0
453,1.0,1952.0,3.0,2.0,,,1.0
454,1.0,1929.0,2.0,1.0,,,1.0
455,1.0,1936.0,1.0,2.0,,,1.0
456,2.0,1936.0,1.0,2.0,,,1.0
457,1.0,1960.0,5.0,2.0,,,1.0
458,1.0,1966.0,1.0,2.0,,823.0,1.0
459,2.0,1966.0,1.0,2.0,,823.0,1.0
460,2.0,2004.0,0.0,2.0,,,1.0
461,2.0,2004.0,0.0,2.0,,,1.0
462,1.0,1938.0,1.0,2.0,,,1.0
463,2.0,1939.0,1.0,2.0,,,1.0
464,1.0,1960.0,1.0,1.0,429.0,875.0,1.0
465,2.0,1962.0,1.0,1.0,60.0,521.0,1.0
466,1.0,1961.0,1.0,1.0,,159.0,1.0
467,2.0,1968.0,1.0,1.0,281.0,259.0,1.0
468,2.0,1999.0,5.0,1.0,,521.0,1.0
469,1.0,1964.0,1.0,1.0,404.0,248.0,5.0
470,2.0,1975.0,1.0,1.0,,,5.0
471,2.0,1997.0,5.0,1.0,,,5.0
472,1.0,1999.0,5.0,1.0,,,5.0
473,2.0,2008.0,0.0,1.0,,,5.0
474,2.0,2011.0,0.0,1.0,,,5.0
475,2.0,1942.0,3.0,1.0,,,1.0
476,1.0,1974.0,1.0,2.0,300.0,783.0,2.0
477,2.0,1981.0,1.0,2.0,,,2.0
478,2.0,2007.0,0.0,2.0,,,2.0
479,1.0,1940.0,1.0,1.0,,,1.0
480,2.0,1943.0,1.0,1.0,,,1.0
481,1.0,2000.0,5.0,1.0,,,1.0
482,1.0,1968.0,3.0,1.0,,521.0,1.0
483,1.0,1955.0,1.0,1.0,,874.0,1.0
484,2.0,1961.0,1.0,1.0,,951.0,1.0
485,1.0,1961.0,1.0,1.0,292.0,892.0,1.0
486,2.0,1961.0,1.0,1.0,,,1.0
487,1.0,1938.0,1.0,1.0,,,1.0
488,2.0,1943.0,1.0,1.0,,,1.0
489,1.0,1979.0,1.0,2.0,433.0,312.0,2.0
490,2.0,1983.0,1.0,2.0,,,2.0
491,1.0,2010.0,0.0,2.0,,,2.0
492,1.0,1945.0,1.0,1.0,,,2.0
493,2.0,1953.0,1.0,1.0,130.0,951.0,2.0
494,2.0,1946.0,2.0,2.0,,,1.0
495,2.0,1947.0,4.0,1.0,,,1.0
496,1.0,2001.0,0.0,1.0,,,1.0
497,2.0,1935.0,2.0,1.0,,,1.0
498,2.0,1950.0,2.0,2.0,,,1.0
499,1.0,1978.0,5.0,2.0,677.0,320.0,1.0
500,2.0,1979.0,5.0,2.0,,,1.0
501,1.0,1981.0,5.0,2.0,330.0,922.0,1.0
